Comparison,Assay,OLINK.ID,Protein.ID,Uniprot.ID,logFC,CI.L,CI.R,AveExpr,P.Value,adj.P.Val
Longitudinal_in_Mild,Neurology,OID00374,MANF,P55145,2.98,1.98,3.99,7.38,0.00,0.01
Longitudinal_in_Mild,Inflammation,OID00502,SLAMF1,Q13291,-1.23,-1.67,-0.79,2.50,0.00,0.01
Longitudinal_in_Mild,Cardiovascular,OID00420,CD84,Q9UIB8,0.81,0.52,1.11,4.68,0.00,0.01
Severe_v_Critical,Inflammation,OID00483,IL-17C,Q9P0M4,0.86,0.44,1.28,3.34,0.00,0.01
Longitudinal_in_Mild,Cardiovascular,OID00408,SCF,P21583,1.52,0.96,2.09,9.39,0.00,0.01
Mild_v_Severe,Immune,OID01018,DDX58,O95786,0.94,0.35,1.53,3.15,0.00,0.01
Mild_v_Severe,Neurology,OID00321,RSPO1,Q2MKA7,0.47,0.17,0.76,2.61,0.00,0.01
Control_v_Critical,Neurology,OID00295,CLM-6,Q08708,0.46,0.15,0.76,6.15,0.00,0.01
Control_v_Case,Immune,OID00970,CCL11,P51671,-0.46,-0.80,-0.13,7.22,0.01,0.01
Mild_v_Critical,Inflammation,OID00561,TNFB,P01374,-0.56,-0.93,-0.19,4.63,0.00,0.01
Mild_v_Severe,Cardiovascular,OID00469,PARP-1,P09874,1.03,0.38,1.68,4.40,0.00,0.01
Control_v_Case,Cardiovascular,OID00451,FABP2,P12104,-1.01,-1.73,-0.28,7.69,0.01,0.01
Mild_v_Critical,Immune,OID00966,NTF4,P34130,-0.35,-0.59,-0.12,1.83,0.00,0.01
Control_v_Case,Inflammation,OID00539,CCL28,Q9NRJ3,-0.40,-0.70,-0.11,2.41,0.01,0.01
Control_v_Mild,Neurology,OID00319,ADAM 23,O75077,-0.85,-1.42,-0.29,4.12,0.00,0.01
Control_v_Mild,Immune,OID00961,GALNT3,Q14435,0.74,0.25,1.23,2.77,0.00,0.01
Control_v_Mild,Neurology,OID00355,PDGF-R-alpha,P16234,0.44,0.15,0.73,5.26,0.00,0.01
Control_v_Mild,Neurology,OID00302,PRTG,Q2VWP7,-0.34,-0.57,-0.12,6.59,0.00,0.01
Mild_v_Severe,Neurology,OID00330,WFIKKN1,Q96NZ8,-0.56,-0.91,-0.20,3.52,0.00,0.01
Severe_v_Critical,Neurology,OID00347,FLRT2,O43155,0.37,0.19,0.55,2.23,0.00,0.01
Control_v_Critical,Neurology,OID00339,GZMA,P12544,0.72,0.23,1.21,6.25,0.00,0.01
Mild_v_Critical,Cardiovascular,OID00448,AGRP,O00253,0.68,0.22,1.14,5.77,0.00,0.01
Mild_v_Critical,Neurology,OID00376,CD200R1,Q8TD46,-0.35,-0.59,-0.11,4.24,0.00,0.01
Mild_v_Critical,Cardiovascular,OID00399,TF,P13726,0.33,0.11,0.56,6.07,0.00,0.01
Mild_v_Severe,Cardiovascular,OID00400,IL1RL2,Q9HB29,-0.63,-1.04,-0.22,4.33,0.00,0.01
Mild_v_Critical,Neurology,OID00301,NCAN,O14594,-0.34,-0.58,-0.11,8.54,0.00,0.01
Mild_v_Critical,Immune,OID01010,IFNLR1,Q8IU57,0.47,0.15,0.80,2.85,0.01,0.01
Mild_v_Critical,Cardiovascular,OID00446,LPL,P06858,-0.44,-0.74,-0.14,9.76,0.01,0.01
Mild_v_Severe,Inflammation,OID00561,TNFB,P01374,-0.56,-0.92,-0.20,4.76,0.00,0.01
Control_v_Case,Cardiovascular,OID00399,TF,P13726,0.34,0.09,0.60,6.04,0.01,0.01
Control_v_Mild,Neurology,OID00328,GDF-8,O14793,-0.74,-1.23,-0.24,3.65,0.00,0.01
Mild_v_Critical,Cardiovascular,OID00426,KIM1,Q96D42,1.06,0.33,1.80,8.75,0.01,0.01
Mild_v_Critical,Inflammation,OID00547,LIF,P15018,0.33,0.10,0.56,0.50,0.01,0.01
Control_v_Critical,Neurology,OID00367,SPOCK1,Q08629,0.45,0.14,0.76,2.52,0.01,0.01
Mild_v_Critical,Cardiovascular,OID00425,MERTK,Q12866,0.34,0.11,0.58,6.81,0.01,0.01
Mild_v_Critical,Immune,OID01012,PADI2,Q9Y2J8,0.63,0.20,1.06,1.28,0.01,0.01
Control_v_Critical,Cardiovascular,OID00470,HAOX1,Q9UJM8,1.67,0.51,2.82,6.22,0.01,0.01
Mild_v_Critical,Neurology,OID00331,TMPRSS5,Q9H3S3,-0.40,-0.68,-0.12,2.46,0.01,0.01
Mild_v_Severe,Neurology,OID00338,NTRK2,Q16620,-0.55,-0.91,-0.19,6.17,0.00,0.01
Mild_v_Severe,Inflammation,OID00478,IL7,P13232,0.72,0.25,1.18,2.13,0.00,0.01
Mild_v_Severe,Inflammation,OID00533,Flt3L,P49771,-0.55,-0.91,-0.19,9.02,0.00,0.01
Control_v_Case,Immune,OID00995,KLRD1,Q13241,0.48,0.12,0.84,6.80,0.01,0.01
Mild_v_Critical,Inflammation,OID05547,IFN-gamma,P01579,1.58,0.48,2.68,8.74,0.01,0.01
Mild_v_Severe,Immune,OID01004,DFFA,O00273,0.83,0.28,1.37,4.17,0.00,0.01
Control_v_Mild,Cardiovascular,OID00465,HSP 27,P04792,-0.71,-1.20,-0.23,9.97,0.00,0.01
Control_v_Mild,Inflammation,OID00554,NT-3,P20783,-0.70,-1.18,-0.22,2.33,0.00,0.01
Severe_v_Critical,Inflammation,OID00552,CX3CL1,P78423,0.69,0.34,1.05,4.79,0.00,0.01
Control_v_Mild,Inflammation,OID05548,TNF,P01375,0.65,0.21,1.09,2.84,0.00,0.01
Mild_v_Critical,Immune,OID01013,SIT1,Q9Y3P8,0.83,0.25,1.41,2.57,0.01,0.01
Mild_v_Critical,Neurology,OID00300,SCARB2,Q14108,0.63,0.19,1.07,5.26,0.01,0.01
Mild_v_Critical,Neurology,OID00330,WFIKKN1,Q96NZ8,-0.61,-1.04,-0.18,3.40,0.01,0.01
Mild_v_Critical,Cardiovascular,OID00435,SORT1,Q99523,0.39,0.12,0.67,8.55,0.01,0.01
Control_v_Severe,Neurology,OID00362,NAAA,Q02083,3.14,1.30,4.99,3.45,0.00,0.01
Control_v_Critical,Cardiovascular,OID00469,PARP-1,P09874,1.16,0.34,1.97,5.68,0.01,0.01
Mild_v_Severe,Inflammation,OID00502,SLAMF1,Q13291,0.59,0.20,0.98,2.57,0.00,0.01
Mild_v_Critical,Inflammation,OID00555,TWEAK,O43508,-0.47,-0.80,-0.14,8.44,0.01,0.01
Control_v_Case,Inflammation,OID00505,CCL11,P51671,-0.50,-0.88,-0.12,7.63,0.01,0.01
Mild_v_Severe,Cardiovascular,OID00432,HO-1,P09601,0.59,0.20,0.98,11.81,0.00,0.01
Mild_v_Severe,Neurology,OID00364,PLXNB1,O43157,0.35,0.11,0.58,1.85,0.00,0.01
Control_v_Mild,Neurology,OID00359,JAM-B,P57087,-0.46,-0.77,-0.14,7.92,0.01,0.01
Mild_v_Severe,Cardiovascular,OID00446,LPL,P06858,-0.50,-0.83,-0.16,9.92,0.00,0.01
Mild_v_Critical,Cardiovascular,OID00407,GIF,P27352,-0.83,-1.42,-0.24,6.80,0.01,0.01
Mild_v_Critical,Cardiovascular,OID00461,TNFRSF13B,O14836,0.45,0.13,0.77,9.98,0.01,0.01
Mild_v_Severe,Neurology,OID00366,CLM-1,Q8TDQ1,0.80,0.26,1.33,6.52,0.00,0.01
Control_v_Critical,Cardiovascular,OID00383,SLAMF7,Q9NQ25,0.99,0.29,1.69,3.76,0.01,0.02
Severe_v_Critical,Inflammation,OID00471,IL8,P10145,1.37,0.66,2.08,7.00,0.00,0.02
Severe_v_Critical,Immune,OID01026,ITGB6,P18564,0.51,0.24,0.78,3.06,0.00,0.02
Control_v_Critical,Inflammation,OID00504,MCP-4,Q99616,-1.37,-2.34,-0.40,15.10,0.01,0.02
Control_v_Critical,Inflammation,OID00554,NT-3,P20783,-0.72,-1.24,-0.21,2.22,0.01,0.02
Mild_v_Critical,Neurology,OID00337,CD200,P41217,-0.44,-0.76,-0.13,6.22,0.01,0.02
Mild_v_Critical,Cardiovascular,OID00385,ADAM-TS13,Q76LX8,-0.16,-0.28,-0.05,5.02,0.01,0.02
Control_v_Critical,Neurology,OID00319,ADAM 23,O75077,-0.63,-1.08,-0.18,3.93,0.01,0.02
Severe_v_Critical,Cardiovascular,OID00464,CA5A,P35218,1.16,0.53,1.79,4.60,0.00,0.02
Severe_v_Critical,Cardiovascular,OID00396,TRAIL-R2,O14763,0.84,0.37,1.30,7.73,0.00,0.02
Severe_v_Critical,Immune,OID01027,BTN3A2,P78410,0.76,0.34,1.18,4.01,0.00,0.02
Severe_v_Critical,Neurology,OID00300,SCARB2,Q14108,0.73,0.33,1.12,5.68,0.00,0.02
Severe_v_Critical,Cardiovascular,OID00452,THPO,P40225,0.70,0.31,1.08,4.07,0.00,0.02
Severe_v_Critical,Inflammation,OID00479,OPG,O00300,0.65,0.29,1.01,10.93,0.00,0.02
Severe_v_Critical,Neurology,OID00337,CD200,P41217,0.50,0.23,0.78,5.99,0.00,0.02
Severe_v_Critical,Neurology,OID00355,PDGF-R-alpha,P16234,0.43,0.20,0.66,5.67,0.00,0.02
Severe_v_Critical,Neurology,OID00360,CTSS,P25774,0.32,0.14,0.50,6.15,0.00,0.02
Severe_v_Critical,Cardiovascular,OID00431,PRELP,P51888,0.18,0.08,0.28,8.41,0.00,0.02
Control_v_Case,Cardiovascular,OID00393,IDUA,P35475,-0.43,-0.76,-0.10,5.63,0.01,0.02
Severe_v_Critical,Cardiovascular,OID00459,CTSL1,P07711,0.65,0.28,1.01,9.32,0.00,0.02
Control_v_Case,Cardiovascular,OID00440,CCL3,P10147,0.78,0.18,1.38,6.82,0.01,0.02
Mild_v_Critical,Immune,OID01017,CLEC6A,Q6EIG7,0.60,0.17,1.03,2.75,0.01,0.02
Control_v_Case,Inflammation,OID00533,Flt3L,P49771,-0.47,-0.84,-0.11,9.08,0.01,0.02
Control_v_Case,Inflammation,OID00502,SLAMF1,Q13291,0.45,0.11,0.80,2.62,0.01,0.02
Severe_v_Critical,Immune,OID00953,PRDX3,P30048,0.67,0.29,1.05,0.18,0.00,0.02
Severe_v_Critical,Inflammation,OID00535,CXCL10,P02778,0.62,0.27,0.98,13.04,0.00,0.02
Severe_v_Critical,Inflammation,OID00481,uPA,P00749,0.50,0.21,0.78,10.06,0.00,0.02
Mild_v_Critical,Neurology,OID00295,CLM-6,Q08708,0.36,0.10,0.63,6.18,0.01,0.02
Severe_v_Critical,Cardiovascular,OID00390,IL6,P05231,1.80,0.77,2.83,7.82,0.00,0.02
Control_v_Critical,Inflammation,OID00478,IL7,P13232,-1.07,-1.84,-0.30,3.32,0.01,0.02
Mild_v_Critical,Immune,OID01003,ICA1,Q05084,0.39,0.11,0.68,1.02,0.01,0.02
Control_v_Mild,Neurology,OID00338,NTRK2,Q16620,-0.46,-0.78,-0.14,6.49,0.01,0.02
Control_v_Critical,Neurology,OID00343,GDNFR-alpha-3,O60609,-0.64,-1.10,-0.18,4.75,0.01,0.02
Control_v_Case,Cardiovascular,OID00469,PARP-1,P09874,0.74,0.17,1.31,5.17,0.01,0.02
Control_v_Case,Neurology,OID00330,WFIKKN1,Q96NZ8,-0.40,-0.70,-0.09,3.40,0.01,0.02
Mild_v_Severe,Inflammation,OID00538,SIRT2,Q8IXJ6,1.25,0.40,2.11,3.57,0.01,0.02
Mild_v_Severe,Neurology,OID00349,CLEC10A,Q8IUN9,-0.82,-1.38,-0.26,4.99,0.01,0.02
Mild_v_Severe,Cardiovascular,OID00403,IL-17D,Q8TAD2,-0.29,-0.49,-0.09,2.36,0.01,0.02
Control_v_Case,Inflammation,OID00531,CD5,P06127,-0.39,-0.69,-0.09,5.32,0.01,0.02
Severe_v_Critical,Cardiovascular,OID00398,TIE2,Q02763,0.30,0.13,0.47,7.37,0.00,0.02
Mild_v_Severe,Cardiovascular,OID00412,RAGE,Q15109,0.52,0.16,0.87,13.54,0.01,0.02
Mild_v_Severe,Immune,OID00962,FXYD5,Q96DB9,0.11,0.03,0.18,0.34,0.01,0.02
Control_v_Mild,Cardiovascular,OID00436,CEACAM8,P31997,-0.69,-1.18,-0.20,4.14,0.01,0.02
Mild_v_Severe,Cardiovascular,OID00389,IL-1ra,P18510,0.77,0.24,1.30,5.69,0.01,0.02
Mild_v_Severe,Immune,OID01001,FAM3B,P58499,-0.46,-0.77,-0.14,4.60,0.01,0.02
Control_v_Critical,Neurology,OID00358,DDR1,Q08345,-0.31,-0.54,-0.08,7.32,0.01,0.02
Severe_v_Critical,Cardiovascular,OID00428,TM,P07204,0.47,0.19,0.74,9.67,0.00,0.02
Mild_v_Critical,Immune,OID00962,FXYD5,Q96DB9,0.22,0.06,0.38,0.50,0.01,0.02
Mild_v_Severe,Inflammation,OID05548,TNF,P01375,0.54,0.16,0.92,3.10,0.01,0.02
Control_v_Case,Inflammation,OID00553,TNFRSF9,Q07011,-0.40,-0.72,-0.09,6.67,0.01,0.02
Severe_v_Critical,Immune,OID01015,LAMP3,Q9UQV4,0.66,0.27,1.05,5.92,0.00,0.02
Severe_v_Critical,Cardiovascular,OID00384,PGF,P49763,0.45,0.18,0.72,7.84,0.00,0.02
Control_v_Critical,Inflammation,OID00496,CXCL1,P09341,-1.10,-1.91,-0.29,10.45,0.01,0.02
Mild_v_Critical,Cardiovascular,OID00403,IL-17D,Q8TAD2,-0.24,-0.42,-0.06,2.27,0.01,0.02
Control_v_Case,Cardiovascular,OID00394,TNFRSF11A,Q9Y6Q6,0.45,0.09,0.81,5.95,0.01,0.02
Control_v_Case,Immune,OID00991,TREM1,Q9NP99,0.43,0.09,0.78,2.66,0.01,0.02
Control_v_Critical,Immune,OID00944,CLEC4G,Q6UXB4,0.87,0.23,1.51,3.85,0.01,0.02
Control_v_Critical,Immune,OID00974,LY75,O60449,-0.51,-0.89,-0.13,2.90,0.01,0.02
Control_v_Critical,Inflammation,OID00477,CD244,Q9BZW8,-0.49,-0.85,-0.13,5.86,0.01,0.02
Mild_v_Critical,Neurology,OID00346,SKR3,P37023,0.42,0.11,0.73,7.07,0.01,0.02
Mild_v_Critical,Neurology,OID00348,CPM,P14384,-0.41,-0.72,-0.11,6.41,0.01,0.02
Control_v_Mild,Neurology,OID00367,SPOCK1,Q08629,0.33,0.09,0.57,2.40,0.01,0.02
Longitudinal_in_Mild,Immune,OID01012,PADI2,Q9Y2J8,-1.96,-2.75,-1.18,1.00,0.00,0.02
Severe_v_Critical,Inflammation,OID00550,CASP-8,Q14790,0.77,0.31,1.23,3.89,0.00,0.02
Control_v_Severe,Cardiovascular,OID00404,CXCL1,P09341,-3.62,-5.85,-1.39,11.47,0.00,0.02
Mild_v_Severe,Cardiovascular,OID00436,CEACAM8,P31997,0.59,0.17,1.02,4.19,0.01,0.02
Control_v_Mild,Neurology,OID00357,CDH6,P55285,-0.41,-0.70,-0.11,4.61,0.01,0.02
Control_v_Case,Neurology,OID00337,CD200,P41217,-0.38,-0.69,-0.07,6.21,0.02,0.02
Severe_v_Critical,Immune,OID00965,LILRB4,Q8NHJ6,0.73,0.29,1.17,5.39,0.00,0.02
Control_v_Severe,Immune,OID00950,IRAK1,P51617,-3.48,-5.64,-1.32,4.09,0.00,0.02
Mild_v_Critical,Neurology,OID00375,TN-R,Q92752,-0.56,-0.99,-0.14,4.11,0.01,0.02
Mild_v_Critical,Cardiovascular,OID00467,NEMO,Q9Y6K9,0.84,0.20,1.48,5.02,0.01,0.02
Control_v_Critical,Cardiovascular,OID00422,SERPINA12,Q8IW75,-1.47,-2.59,-0.36,2.76,0.01,0.02
Mild_v_Critical,Neurology,OID00328,GDF-8,O14793,-1.14,-2.01,-0.27,3.10,0.01,0.02
Mild_v_Critical,Immune,OID00945,IRF9,Q00978,0.55,0.13,0.97,1.90,0.01,0.02
Longitudinal_in_Mild,Cardiovascular,OID00421,PAPPA,Q13219,2.54,1.44,3.65,2.49,0.00,0.02
"Longitudinal_in_Critical",Cardiovascular,OID00424,DECR1,Q16698,0.69,0.48,0.90,4.50,0.00,0.02
"Longitudinal_in_Critical",Immune,OID00941,TPSAB1,Q15661,0.67,0.45,0.90,4.31,0.00,0.02
"Longitudinal_in_Critical",Cardiovascular,OID00399,TF,P13726,-0.54,-0.72,-0.36,6.60,0.00,0.02
Control_v_Critical,Immune,OID01002,SH2D1A,O60880,-1.31,-2.31,-0.31,2.73,0.01,0.02
Control_v_Critical,Inflammation,OID00480,LAP TGF-beta-1,P01137,-1.03,-1.82,-0.25,7.16,0.01,0.02
Control_v_Critical,Inflammation,OID00472,VEGFA,P15692,0.90,0.22,1.59,11.73,0.01,0.02
Severe_v_Critical,Neurology,OID00287,NMNAT1,Q9HAN9,0.86,0.33,1.38,4.49,0.00,0.02
Severe_v_Critical,Neurology,OID00320,MATN3,O15232,0.85,0.33,1.38,10.53,0.00,0.02
Severe_v_Critical,Cardiovascular,OID00387,IL-4RA,P24394,0.80,0.31,1.29,2.98,0.00,0.02
Severe_v_Critical,Neurology,OID00310,MSR1,P21757,0.42,0.16,0.68,7.03,0.00,0.02
Severe_v_Critical,Neurology,OID00296,EZR,P15311,0.37,0.14,0.60,4.74,0.00,0.02
Control_v_Critical,Cardiovascular,OID00404,CXCL1,P09341,-1.14,-2.02,-0.27,11.27,0.01,0.02
Severe_v_Critical,Immune,OID00985,CKAP4,Q07065,0.82,0.31,1.33,6.65,0.00,0.02
Severe_v_Critical,Inflammation,OID00527,MMP-10,P09238,0.66,0.25,1.08,9.45,0.00,0.02
Mild_v_Critical,Inflammation,OID00527,MMP-10,P09238,0.45,0.11,0.80,9.31,0.01,0.02
Control_v_Mild,Immune,OID01008,CXCL12,P48061,-0.34,-0.60,-0.09,1.46,0.01,0.02
Control_v_Severe,Cardiovascular,OID00439,CCL17,Q92583,-5.33,-8.77,-1.90,10.27,0.00,0.02
Control_v_Severe,Immune,OID01020,TANK,Q92844,-4.04,-6.62,-1.45,3.16,0.00,0.02
Control_v_Severe,Immune,OID00955,PRDX5,P30044,-3.30,-5.41,-1.18,6.96,0.00,0.02
Control_v_Severe,Cardiovascular,OID00450,GDF-2,Q9UK05,-3.12,-5.09,-1.14,8.78,0.00,0.02
Control_v_Severe,Immune,OID01017,CLEC6A,Q6EIG7,2.73,0.97,4.49,2.19,0.00,0.02
Control_v_Severe,Neurology,OID00306,PLXNB3,Q9ULL4,-2.14,-3.49,-0.78,5.08,0.00,0.02
Control_v_Severe,Inflammation,OID00552,CX3CL1,P78423,-2.01,-3.30,-0.72,4.19,0.00,0.02
Control_v_Severe,Neurology,OID00292,UNC5C,O95185,-1.69,-2.76,-0.62,4.56,0.00,0.02
Control_v_Severe,Immune,OID00951,CLEC4A,Q9UMR7,-1.64,-2.68,-0.59,3.83,0.00,0.02
Control_v_Case,Neurology,OID00329,THY 1,P04216,-0.26,-0.47,-0.05,9.90,0.02,0.02
Control_v_Severe,Cardiovascular,OID00380,ANGPT1,Q15389,-3.44,-5.66,-1.22,9.20,0.00,0.02
Mild_v_Severe,Inflammation,OID01213,DNER,Q8NFT8,-0.35,-0.61,-0.10,8.47,0.01,0.02
Control_v_Case,Neurology,OID00375,TN-R,Q92752,-0.40,-0.72,-0.07,4.15,0.02,0.02
Control_v_Case,Neurology,OID00291,GDNF,P39905,0.29,0.05,0.53,1.99,0.02,0.03
Mild_v_Severe,Immune,OID00966,NTF4,P34130,-0.38,-0.65,-0.10,1.90,0.01,0.03
Control_v_Mild,Neurology,OID00339,GZMA,P12544,0.58,0.15,1.01,6.05,0.01,0.03
Mild_v_Severe,Inflammation,OID00479,OPG,O00300,0.32,0.09,0.56,10.14,0.01,0.03
Control_v_Critical,Cardiovascular,OID00460,hOSCAR,Q8IYS5,0.37,0.08,0.65,10.88,0.01,0.03
Control_v_Critical,Neurology,OID00349,CLEC10A,Q8IUN9,-0.46,-0.82,-0.10,4.87,0.01,0.03
Mild_v_Severe,Neurology,OID05024,MAPT,P10636,0.09,0.02,0.16,0.28,0.01,0.03
Mild_v_Critical,Immune,OID00969,HNMT,P50135,0.64,0.14,1.15,9.53,0.01,0.03
Mild_v_Severe,Cardiovascular,OID00467,NEMO,Q9Y6K9,0.88,0.23,1.53,4.73,0.01,0.03
Mild_v_Critical,Neurology,OID00288,NRP2,O60462,0.13,0.03,0.23,8.25,0.01,0.03
Mild_v_Critical,Inflammation,OID00481,uPA,P00749,0.34,0.07,0.61,9.94,0.01,0.03
Control_v_Case,Neurology,OID00365,TNFRSF21,O75509,-0.24,-0.44,-0.04,8.19,0.02,0.03
Control_v_Mild,Inflammation,OID00493,IL-1 alpha,P01583,-0.19,-0.33,-0.05,0.07,0.01,0.03
Mild_v_Severe,Neurology,OID00363,N2DL-2,Q9BZM5,0.48,0.12,0.83,3.08,0.01,0.03
Control_v_Critical,Inflammation,OID00553,TNFRSF9,Q07011,-0.75,-1.34,-0.16,6.71,0.01,0.03
Control_v_Severe,Neurology,OID00332,CDH3,P22223,-1.68,-2.79,-0.57,7.16,0.00,0.03
Mild_v_Severe,Inflammation,OID00477,CD244,Q9BZW8,-0.43,-0.76,-0.11,5.82,0.01,0.03
Mild_v_Severe,Immune,OID00942,HCLS1,P14317,1.49,0.38,2.60,4.31,0.01,0.03
Mild_v_Critical,Neurology,OID00341,DRAXIN,Q8NBI3,0.70,0.15,1.25,3.64,0.01,0.03
Control_v_Critical,Neurology,OID00332,CDH3,P22223,-0.50,-0.90,-0.11,7.27,0.01,0.03
Mild_v_Critical,Cardiovascular,OID00401,PDGF subunit B,P01127,0.93,0.19,1.68,9.79,0.01,0.03
Mild_v_Severe,Neurology,OID00287,NMNAT1,Q9HAN9,0.83,0.21,1.45,3.18,0.01,0.03
Control_v_Severe,Cardiovascular,OID00386,BOC,Q9BWV1,-1.79,-2.98,-0.60,3.56,0.00,0.03
Control_v_Critical,Inflammation,OID00515,IL-10RB,Q08334,-0.51,-0.91,-0.11,6.24,0.01,0.03
Control_v_Severe,Immune,OID01024,IL5,P05113,3.21,1.07,5.35,1.00,0.00,0.03
Control_v_Critical,Inflammation,OID01213,DNER,Q8NFT8,-0.38,-0.68,-0.08,8.46,0.01,0.03
"Longitudinal_in_Critical",Neurology,OID00328,GDF-8,O14793,-0.83,-1.14,-0.52,2.78,0.00,0.03
Control_v_Severe,Cardiovascular,OID00397,PRSS27,Q9BQR3,-1.48,-2.47,-0.49,8.96,0.00,0.03
Severe_v_Critical,Neurology,OID00357,CDH6,P55285,0.36,0.13,0.58,3.88,0.00,0.03
Control_v_Case,Cardiovascular,OID00456,MMP12,P39900,-0.59,-1.09,-0.09,6.80,0.02,0.03
Mild_v_Critical,Inflammation,OID00477,CD244,Q9BZW8,-0.34,-0.61,-0.07,5.79,0.02,0.03
Control_v_Mild,Immune,OID00972,EGLN1,Q9GZT9,-0.54,-0.95,-0.13,1.51,0.01,0.03
Control_v_Severe,Inflammation,OID00550,CASP-8,Q14790,-3.24,-5.42,-1.06,5.92,0.00,0.03
Control_v_Severe,Inflammation,OID00524,IL-24,Q13007,1.43,0.47,2.39,1.08,0.00,0.03
Control_v_Severe,Inflammation,OID00496,CXCL1,P09341,-3.41,-5.72,-1.11,10.64,0.00,0.03
Mild_v_Severe,Inflammation,OID00505,CCL11,P51671,-0.48,-0.85,-0.12,7.60,0.01,0.03
Mild_v_Severe,Neurology,OID00314,RGMB,Q6NW40,-0.49,-0.86,-0.12,5.73,0.01,0.03
Severe_v_Critical,Cardiovascular,OID00406,Gal-9,O00182,0.28,0.10,0.45,9.25,0.00,0.03
Control_v_Critical,Immune,OID01024,IL5,P05113,-0.69,-1.24,-0.14,1.02,0.02,0.03
Severe_v_Critical,Inflammation,OID00482,IL6,P05231,1.71,0.60,2.82,6.93,0.00,0.03
Mild_v_Severe,Immune,OID00957,TRIM5,Q9C035,0.39,0.09,0.69,1.50,0.01,0.03
Control_v_Mild,Inflammation,OID00518,PD-L1,Q9NZQ7,0.59,0.13,1.05,5.50,0.01,0.03
Mild_v_Severe,Neurology,OID00324,gal-8,O00214,0.63,0.15,1.11,5.78,0.01,0.03
Mild_v_Severe,Neurology,OID00347,FLRT2,O43155,-0.23,-0.40,-0.05,2.22,0.01,0.03
Severe_v_Critical,Neurology,OID00293,VWC2,Q2TAL6,-0.38,-0.62,-0.13,5.57,0.00,0.03
Control_v_Critical,Cardiovascular,OID00401,PDGF subunit B,P01127,-0.53,-0.95,-0.10,10.64,0.02,0.03
Mild_v_Critical,Immune,OID00942,HCLS1,P14317,0.93,0.18,1.69,4.67,0.02,0.03
Mild_v_Critical,Inflammation,OID00550,CASP-8,Q14790,0.55,0.10,0.99,3.32,0.02,0.03
Mild_v_Critical,Cardiovascular,OID00470,HAOX1,Q9UJM8,1.36,0.26,2.47,6.63,0.02,0.03
Control_v_Severe,Immune,OID00959,ITGA6,P23229,-3.76,-6.33,-1.20,3.79,0.01,0.03
Severe_v_Critical,Neurology,OID00346,SKR3,P37023,0.40,0.14,0.67,7.31,0.00,0.03
Control_v_Mild,Inflammation,OID00549,MCP-2,P80075,1.24,0.28,2.20,9.53,0.01,0.03
Severe_v_Critical,Immune,OID00970,CCL11,P51671,0.49,0.17,0.82,7.05,0.00,0.03
Control_v_Critical,Neurology,OID00287,NMNAT1,Q9HAN9,1.13,0.21,2.04,4.11,0.02,0.03
Mild_v_Critical,Immune,OID00964,TRIM21,P19474,0.87,0.16,1.58,3.33,0.02,0.03
Mild_v_Severe,Immune,OID00949,CLEC4C,Q8WTT0,-0.50,-0.88,-0.11,3.88,0.01,0.03
Severe_v_Critical,Inflammation,OID00474,MCP-3,P80098,1.60,0.53,2.67,5.56,0.00,0.03
Severe_v_Critical,Inflammation,OID00549,MCP-2,P80075,1.18,0.39,1.97,10.41,0.00,0.03
Severe_v_Critical,Cardiovascular,OID00423,REN,P00797,1.12,0.37,1.87,6.94,0.00,0.03
Severe_v_Critical,Cardiovascular,OID00383,SLAMF7,Q9NQ25,0.82,0.27,1.37,4.42,0.00,0.03
Severe_v_Critical,Neurology,OID00364,PLXNB1,O43157,0.52,0.17,0.86,2.49,0.00,0.03
Severe_v_Critical,Neurology,OID00329,THY 1,P04216,0.41,0.14,0.68,9.81,0.00,0.03
Severe_v_Critical,Neurology,OID00335,Beta-NGF,P01138,0.35,0.11,0.58,1.67,0.00,0.03
Severe_v_Critical,Neurology,OID00315,SIGLEC1,Q9BZZ2,0.41,0.13,0.69,7.22,0.01,0.03
Control_v_Severe,Cardiovascular,OID00399,TF,P13726,-1.63,-2.75,-0.51,6.00,0.01,0.03
Control_v_Severe,Immune,OID00947,IL6,P05231,3.36,1.04,5.68,3.05,0.01,0.03
Control_v_Severe,Immune,OID00957,TRIM5,Q9C035,-2.77,-4.68,-0.86,3.48,0.01,0.03
Mild_v_Critical,Cardiovascular,OID00419,GLO1,Q04760,0.66,0.12,1.19,5.73,0.02,0.03
Mild_v_Critical,Neurology,OID00294,Siglec-9,Q9Y336,0.30,0.05,0.54,5.06,0.02,0.03
Control_v_Mild,Cardiovascular,OID00383,SLAMF7,Q9NQ25,0.88,0.19,1.58,3.19,0.01,0.03
Control_v_Mild,Cardiovascular,OID00470,HAOX1,Q9UJM8,1.81,0.39,3.23,5.36,0.01,0.03
Control_v_Mild,Immune,OID00947,IL6,P05231,0.74,0.16,1.33,2.25,0.01,0.03
Longitudinal_in_Mild,Immune,OID00951,CLEC4A,Q9UMR7,0.74,0.40,1.07,3.72,0.00,0.04
Longitudinal_in_Mild,Immune,OID01020,TANK,Q92844,0.69,0.38,1.00,1.23,0.00,0.04
Control_v_Critical,Neurology,OID00322,HAGH,Q16775,-1.11,-2.03,-0.20,7.04,0.02,0.04
Control_v_Critical,Cardiovascular,OID00418,FS,P19883,0.83,0.15,1.51,10.89,0.02,0.04
